,executive_order_number,title,signing_date,disposition_notes,president,days,count
0,7532.0,"Establishing Shinnecock Migratory Bird Refuge, New York",1937-01-08,"Federal Register page and date: 2 FR 63, January 12, 1937
Amended by: EO 8184, June 28, 1939
Revoked by: Public Land Order 801, February 5, 1952 (17 FR 1357)",Franklin D Roosevelt,1406,1716.0
1,7533.0,Exemption of James E. Tibbitts From Compulsory Retirement for Age,1937-01-11,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,1409,1717.0
2,7534.0,"Excluding Land From Sitgreaves National Forest and Reserving it for Townsite Purposes, Arizona",1937-01-12,"Federal Register page and date: 2 FR 87, January 14, 1937",Franklin D Roosevelt,1410,1718.0
3,7535.0,"Partial Revocation of   6110 of May 2, 1933, Withdrawing Public Lands, California",1937-01-12,"Federal Register page and date: 2 FR 88, January 14, 1937
Revokes: EO 6119, May 2, 1933 (in part)",Franklin D Roosevelt,1410,1719.0
4,7536.0,"Partial Revocation of   5687 of August 18, 1931, Withdrawing Public Lands, Wyoming",1937-01-12,"Federal Register page and date: 2 FR 88, January 14, 1937
Revokes: EO 5687, August 18, 1931 (in part)",Franklin D Roosevelt,1410,1720.0
5,7537.0,"Authorizing the Leasing of Certain Reserved Lands, Alaska",1937-01-14,"Federal Register page and date: 2 FR 107, January 19, 1937
Revokes: EO 509, April 20, 1929",Franklin D Roosevelt,1412,1721.0
6,7538.0,"Enlarging the Delta Migratory Waterfowl Refuge, Louisiana",1937-01-19,"Federal Register page and date: 2 FR 141, January 22, 1937
Amended by: EO 8517, August 16, 1940",Franklin D Roosevelt,1417,1722.0
7,7539.0,"Partial Revocation of   4914 of June 23, 1928, Withdrawing Public Lands, Wyoming",1937-01-19,"Federal Register page and date: 2 FR 141, January 22, 1937
Revokes: EO 4914, June 23, 1928 (in part)",Franklin D Roosevelt,1417,1723.0
8,7540.0,"Revocation of   6550 of January 6, 1934, Requiring Reports as to Allocation and Obligation of Emergency Funds",1937-01-22,"Revokes: EO 6550, January 6, 1934 
Note: This Executive order was not received for publication in the Federal Register.",Franklin D Roosevelt,1420,1724.0
9,7541.0,"Establishing Willapa Harbor Migratory Bird Refuge, Washington",1937-01-22,"Federal Register page and date: 2 FR 168, January 26, 1937
Amends: Executive order of September 11, 1854 (unnumbered series)
    Amended by: EO 7721, October 8, 1937
See: Proclamation 2439, November 7, 1940",Franklin D Roosevelt,1420,1725.0
10,7542.0,"Transfer of Certain Records of the Railroad Administration to the General Accounting Office, the Interstate Commerce Commission, and the United States Civil Service Commission",1937-01-27,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,1425,1726.0
11,7543.0,Amendment of Instructions to Diplomatic Officers and of Consular Regulations,1937-01-29,"Federal Register page and date: 2 FR 263, February 2, 1937
Revoked by: EO 9521, February 13, 
      1945",Franklin D Roosevelt,1427,1727.0
12,7544.0,"Withdrawal of Land for Forest Administrative Site, New Mexico",1937-01-29,"Federal Register page and date: 2 FR 268, February 2, 1937
Amends: EO 6910, November 6, 1934
Revoked by: Public Land Order 356, March 7, 1947 (12 FR 1929)",Franklin D Roosevelt,1427,1728.0
13,7545.0,Exemption of William H. Ramsey From Compulsory Retirement for Age,1937-01-29,"Amends: EO 7278, January 23, 1936
Note: This Executive order was not received for publication in the Federal Register.",Franklin D Roosevelt,1427,1729.0
14,7546.0,Transfer of Certain Property and Functions From the Department of Agriculture to the Department of the Interior,1937-02-01,"Federal Register page and date: 2 FR 277, February 4, 1937
Amends: EO 7530, December 31, 1936",Franklin D Roosevelt,1430,1730.0
15,7547.0,"Amendment of   6928 of December 24, 1934, Prescribing Regulations for Payment of Losses, etc.",1937-02-01,"Amends: EO 6928, December 24, 1934
Federal Register page and date:
Superseded by: EO 7972, September 15, 1938
Note: This Executive order was not received for publication in the Federal Register.",Franklin D Roosevelt,1430,1731.0
16,7548.0,"Enforcement of the Convention for Safety of Life at Sea, 1929",1937-02-05,"Federal Register page and date: 2 FR 307, February 9, 1937
Superseded by: EO 10402, October 30, 1952
Revoked by: EO 11239, July 31, 1965",Franklin D Roosevelt,1434,1732.0
17,7549.0,Designating Vessels To Patrol Waters Frequented by Seal Herds and Sea Otter,1937-02-06,"Federal Register page and date: 2 FR 321, February 10, 1937",Franklin D Roosevelt,1435,1733.0
18,7550.0,"Revocation of Paragraph 9, Subdivision III, Schedule A, Civil Service Rules",1937-02-10,"Federal Register page and date: 2 FR 345, February 12, 1937
Revokes: EO 372, November 18, 1905",Franklin D Roosevelt,1439,1734.0
19,7551.0,"Amendment of Paragraph 1, Subdivision VI, Schedule A, Civil Service Rules",1937-02-11,"Federal Register page and date: 2 FR 381, February 11, 1937",Franklin D Roosevelt,1440,1735.0
20,7552.0,Exemption of William H. Long From Compulsory Retirement for Age,1937-02-13,Note: This Executive order was not received for publication in the Federal Register.,Franklin D Roosevelt,1442,1736.0
