citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number
66 FR 7853, 01-2398,7854,https://www.federalregister.gov/documents/2001/01/25/01-2398/governmentwide-accountability-for-merit-system-principles-workforce-information,https://www.govinfo.gov/content/pkg/FR-2001-01-25/pdf/01-2398.pdf,Presidential Document,Executive Order,01/25/2001,01/18/2001,7851,Governmentwide Accountability for Merit System Principles; Workforce Information,"",13197
66 FR 7379, 01-2138,7385,https://www.federalregister.gov/documents/2001/01/23/01-2138/lifting-and-modifying-measures-with-respect-to-the-federal-republic-of-yugoslavia-serbia-and,https://www.govinfo.gov/content/pkg/FR-2001-01-23/pdf/01-2138.pdf,Presidential Document,Executive Order,01/23/2001,01/17/2001,7379,Lifting and Modifying Measures With Respect to the Federal Republic of Yugoslavia (Serbia and Montenegro),"Amends: EO 13088, June 9, 1998
See: EO 13121, April 30, 1999; Notice of May 24, 2001 
Revoked by: EO 13304, May 28, 2003",13192
66 FR 7387, 01-2139,7388,https://www.federalregister.gov/documents/2001/01/23/01-2139/federal-leadership-on-global-tobacco-control-and-prevention,https://www.govinfo.gov/content/pkg/FR-2001-01-23/pdf/01-2139.pdf,Presidential Document,Executive Order,01/23/2001,01/18/2001,7387,Federal Leadership on Global Tobacco Control and Prevention,"",13193
66 FR 7389, 01-2140,7390,https://www.federalregister.gov/documents/2001/01/23/01-2140/prohibiting-the-importation-of-rough-diamonds-from-sierra-leone,https://www.govinfo.gov/content/pkg/FR-2001-01-23/pdf/01-2140.pdf,Presidential Document,Executive Order,01/23/2001,01/18/2001,7389,Prohibiting the Importation of Rough Diamonds From Sierra Leone,"Amended by: EO 13213, May 22, 2001
See: Notice of January 15, 2002; Notice of January 16, 2003; EO 13312, July 29, 2003 
Revoked by: EO 13324, January 15, 2004",13194
66 FR 7391, 01-2141,7393,https://www.federalregister.gov/documents/2001/01/23/01-2141/trails-for-america-in-the-21st-century,https://www.govinfo.gov/content/pkg/FR-2001-01-23/pdf/01-2141.pdf,Presidential Document,Executive Order,01/23/2001,01/18/2001,7391,Trails for America in the 21st Century,"",13195
66 FR 7395, 01-2214,7397,https://www.federalregister.gov/documents/2001/01/23/01-2214/final-northwestern-hawaiian-islands-coral-reef-ecosystem-reserve,https://www.govinfo.gov/content/pkg/FR-2001-01-23/pdf/01-2214.pdf,Presidential Document,Executive Order,01/23/2001,01/18/2001,7395,Final Northwestern Hawaiian Islands Coral Reef Ecosystem Reserve,"Amends: EO 13178, December 4, 2000",13196
66 FR 7271, 01-2014,7273,https://www.federalregister.gov/documents/2001/01/22/01-2014/implementation-of-the-african-growth-and-opportunity-act-and-the-united-states-caribbean-basin-trade,https://www.govinfo.gov/content/pkg/FR-2001-01-22/pdf/01-2014.pdf,Presidential Document,Executive Order,01/22/2001,01/17/2001,7269,Implementation of the African Growth and Opportunity Act and the United States-Caribbean Basin Trade Partnership Act,"",13191
66 FR 5421, 01-1813,5423,https://www.federalregister.gov/documents/2001/01/19/01-1813/federal-interagency-task-force-on-the-district-of-columbia,https://www.govinfo.gov/content/pkg/FR-2001-01-19/pdf/01-1813.pdf,Presidential Document,Executive Order,01/19/2001,01/15/2001,5421,Federal Interagency Task Force on the District of Columbia,"",13189
66 FR 5424, 01-1814,5425,https://www.federalregister.gov/documents/2001/01/19/01-1814/presidents-commission-on-educational-resource-equity,https://www.govinfo.gov/content/pkg/FR-2001-01-19/pdf/01-1814.pdf,Presidential Document,Executive Order,01/19/2001,01/15/2001,5424,President's Commission on Educational Resource Equity,"",13190
66 FR 5419, 01-1736,5419,https://www.federalregister.gov/documents/2001/01/18/01-1736/amendment-to-executive-order-13111-extension-of-the-advisory-committee-on-expanding-training,https://www.govinfo.gov/content/pkg/FR-2001-01-18/pdf/01-1736.pdf,Presidential Document,Executive Order,01/18/2001,01/12/2001,5419,"Amendment to Executive Order 13111, Extension of the Advisory Committee on Expanding Training Opportunities","Amends: EO 13111, January 12, 1999
See: EO 13316, September 17, 2003",13188
