Order Number,Name,Signed Date,Notes
Executive Order 7532 ,"Establishing Shinnecock Migratory Bird Refuge, New York","Signed: January 8, 1937","Federal Register page and date: 2 FR 63, January 12, 1937
Amended by: EO 8184, June 28, 1939
Revoked by: Public Land Order 801, February 5, 1952 (17 FR 1357) 
"
Executive Order   7533 ,Exemption of James E. Tibbitts From Compulsory Retirement for Age,"Signed: January 11, 1937 ","Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order   7534 ,"Excluding Land From Sitgreaves National Forest and Reserving it for Townsite Purposes, Arizona","Signed: January 12, 1937","Federal Register page and date: 2 FR 87, January 14, 1937
"
Executive Order   7535 ,"Partial Revocation of Executive Order No. 6110 of May 2, 1933, Withdrawing Public Lands, California","Signed: January 12, 1937","Federal Register page and date: 2 FR 88, January 14, 1937
Revokes: EO 6119, May 2, 1933 (in part)
"
Executive Order   7536 ,"Partial Revocation of Executive Order No. 5687 of August 18, 1931, Withdrawing Public Lands, Wyoming","Signed: January 12, 1937","Federal Register page and date: 2 FR 88, January 14, 1937
Revokes: EO 5687, August 18, 1931 (in part)
"
Executive Order   7537,"Authorizing the Leasing of Certain Reserved Lands, Alaska","Signed: January 14, 1937","Federal Register page and date: 2 FR 107, January 19, 1937
Revokes: EO 509, April 20, 1929 
"
Executive Order   7538 ,"Enlarging the Delta Migratory Waterfowl Refuge, Louisiana","Signed: January 19, 1937","Federal Register page and date: 2 FR 141, January 22, 1937
Amended by: EO 8517, August 16, 1940 
"
Executive Order   7539 ,"Partial Revocation of Executive Order No. 4914 of June 23, 1928, Withdrawing Public Lands, Wyoming","Signed: January 19, 1937","Federal Register page and date: 2 FR 141, January 22, 1937
Revokes: EO 4914, June 23, 1928 (in part) 
"
Executive Order   7540 ,"Revocation of Executive Order No. 6550 of January 6, 1934, Requiring Reports as to Allocation and Obligation of Emergency Funds","Signed: January 22, 1937","Revokes: EO 6550, January 6, 1934 
Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order   7541,"Establishing Willapa Harbor Migratory Bird Refuge, Washington","Signed: January 22, 1937","Federal Register page and date: 2 FR 168, January 26, 1937
Amends: Executive order of September 11, 1854 (unnumbered series)
    Amended by: EO 7721, October 8, 1937
See: Proclamation 2439, November 7, 1940
"
Executive Order   7542,"Transfer of Certain Records of the Railroad Administration to the General Accounting Office, the Interstate Commerce Commission, and the United States Civil Service Commission","Signed: January 27, 1937","Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order   7543,Amendment of Instructions to Diplomatic Officers and of Consular Regulations,"Signed: January 29, 1937","Federal Register page and date: 2 FR 263, February 2, 1937
Revoked by: EO 9521, February 13, 
      1945 
"
Executive Order   7544,"Withdrawal of Land for Forest Administrative Site, New Mexico","Signed: January 29, 1937","Federal Register page and date: 2 FR 268, February 2, 1937
Amends: EO 6910, November 6, 1934
Revoked by: Public Land Order 356, March 7, 1947 (12 FR 1929)
"
Executive Order   7545 ,Exemption of William H. Ramsey From Compulsory Retirement for Age,"Signed: January 29, 1937 ","Amends: EO 7278, January 23, 1936
Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order   7546 ,Transfer of Certain Property and Functions From the Department of Agriculture to the Department of the Interior,"Signed: February 1, 1937","Federal Register page and date: 2 FR 277, February 4, 1937
Amends: EO 7530, December 31, 1936 
"
Executive Order   7547,"Amendment of Executive Order No. 6928 of December 24, 1934, Prescribing Regulations for Payment of Losses, etc.","Signed: February 1, 1937","Amends: EO 6928, December 24, 1934
Federal Register page and date:
Superseded by: EO 7972, September 15, 1938
Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order   7548,"Enforcement of the Convention for Safety of Life at Sea, 1929","Signed: February 5, 1937","Federal Register page and date: 2 FR 307, February 9, 1937
Superseded by: EO 10402, October 30, 1952
Revoked by: EO 11239, July 31, 1965
"
Executive Order   7549 ,Designating Vessels To Patrol Waters Frequented by Seal Herds and Sea Otter,"Signed: February 6, 1937","Federal Register page and date: 2 FR 321, February 10, 1937
"
Executive Order   7550 ,"Revocation of Paragraph 9, Subdivision III, Schedule A, Civil Service Rules","Signed: February 10, 1937","Federal Register page and date: 2 FR 345, February 12, 1937
Revokes: EO 372, November 18, 1905 
"
Executive Order   7551 ,"Amendment of Paragraph 1, Subdivision VI, Schedule A, Civil Service Rules","Signed: February 11, 1937","Federal Register page and date: 2 FR 381, February 11, 1937
"
Executive Order   7552,Exemption of William H. Long From Compulsory Retirement for Age,"Signed: February 13, 1937 ","Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order   7553,Increasing Amounts Available for Public Projects Under Emergency Relief Appropriation Act of 1936,"Signed: February 17, 1937","Federal Register page and date: 2 FR 403, February 20, 1937
Amends: EO 7469, October 13, 1936; EO 7512, December 16, 1936
Amended by: EO 7617, May 13, 1937 
"
Executive Order   7554 ,"Amendment of Section 1 of Executive Order No. 7180 of September 6, 1935, Prescribing Rules and Regulations Governing the Making of Loans by the Puerto Rico Reconstruction Administration Under the Emergency Relief Appropriations Act of 1935","Signed: February 17, 1937","Federal Register page and date: 2 FR 403, February 20, 1937
Amends: EO 7180, September 6, 1935
Amended by: EO 8888, September 3, 1941; EO 
      9278, December 5, 1942; EO 9618, 
      September 19, 1945
See: EO 9901, October 25, 1947; EO 
      10468, July 7, 1953 
"
Executive Order   7555,"Withdrawal of Land for Forest Administrative Site, California","Signed: February 17, 1937","Federal Register page and date: 2 FR 403, February 20, 1937
Amends: EO 6910, November 26, 1934
Revoked by: Public Land Order 6144, February 5, 1982 (47 FR 6856) 
"
Executive Order   7556,"Excluding Certain Tracts of Land From Tongass National Forest and Restoring Them to Entry, Alaska","Signed: February 18, 1937","Federal Register page and date: 2 FR 404, February 20, 1937
"
Executive Order   7557,"Amendment of Executive Order No. 7530 of December 31, 1936, Transferring Functions, Funds, Property, etc., of the Resettlement Administration to the Secretary of Agriculture","Signed: February 19, 1937","Federal Register page and date: 2 FR 411, February 24, 1937
Amends: EO 7530, December 31, 1936;
See: 
      
      EO 7028, April 30, 1935; 
      
      EO 7041, May 15, 1935; EO 7868, April 15, 1938; 
      EO 7908, June 9, 1938 
"
Executive Order   7558,"Withdrawal of Public Lands for Erosion Control Demonstrations, Nevada","Signed: February 23, 1937","Federal Register page and date: 2 FR 434, February 26, 1937
Amends: EO 6910, November 26, 1934
Revoked by: Public Land Order 3833, September 27, 1965 (30 FR 12642) (in part) 
"
Executive Order   7559,"Partial Revocation of Executive Order No. 5603 of April 20, 1931, Withdrawing Public Lands, Wyoming","Signed: February 23, 1937","Federal Register page and date: 2 FR 434, February 26, 1937
Revokes: EO 5603, April 20, 1931 (in part)
"
Executive Order   7560,"Revocation of Executive Order No. 6082 of March 25, 1933, Withdrawing Public Lands, Wyoming","Signed: February 23, 1937","Federal Register page and date: 2 FR 434, February 26, 1937
Revokes: EO 6082, March 25, 1933 
"
Executive Order   7561 ,"Partial Revocation of Executive Order No. 6288 of September 14, 1933, Withdrawing Public Lands, Wyoming","Signed: February 23, 1937","Federal Register page and date: 2 FR 434, February 26, 1937
Revokes: EO 6288, September 14, 1933 (in part) 
"
Executive Order   7562,"Establishing Sacramento Migratory Waterfowl Refuge, California ","Signed: February 27, 1937","Federal Register page and date: 2 FR 537, March, 1937
"
Executive Order   7563,"Establishing Swan Lake Migratory Waterfowl Refuge, Missouri","Signed: February 27, 1937","Federal Register page and date: 2 FR 537, March 3, 1937
"
