executive_order_number,title,signing_date,disposition_notes
12944.0,Adjustments of certain rates of pay and allowances,"December 28, 1994","Federal Register page and date: 60 FR 309; January 3, 1995
Supersedes: EO 12826 of December 30, 1992; EO 12886 of December 13, 1993
Superseded by: EO 12984 of December 28, 1995"
12943.0,Further amendment to   11755,"December 13, 1994","Federal Register page and date: 59 FR 64553; December 15, 1994
Amends: EO 11755, December 29, 1973"
12942.0,"Addition to level V of the Executive Schedule - Commissioner, Administration for Native Americans","December 12, 1994","Federal Register page and date: 59 FR 64551; December 15, 1994"
12941.0,Seismic safety of existing Federally owned or leased building,"December 1, 1994","Federal Register page and date: 59 FR 62545; December 5, 1994
Revoked by: EO 13717, February 2, 2016"
12940.0,Amendment to Civil Service Rule VI,"November 28, 1994","Federal Register page and date: 59 FR 61519; November 30, 1994
Supersedes: EO 12300, March 23, 1981"
12939.0,Expedited naturalization of aliens and noncitizen nationals who served in an active-duty status during the Persian Gulf Conflict,"November 22, 1994","Federal Register page and date: 59 FR 61231; November 29, 1994"
12938.0,Proliferation of Weapons of Mass Destruction,"November 14, 1994","Federal Register page and date: 59 FR 59099; November 16, 1994
Revokes: EO 12735, November 16, 1990; EO 12930, September 29, 1994
Amended by: EO 13094, July 28, 1998; EO 13128, June 25, 1999; EO 13382, June 28, 2005
See: Notice of November 8, 1995; Notice of November 12, 1996; Notice of November 12, 1997; Notice of November 12, 1998; Notice of November 10, 1999; Notice of November 9, 2000; EO 13159, June 21, 2000; EO 13206, April 4, 2001; Notice of November 9, 2001; Notice of November 6, 2002; Notice of October 29, 2003; Notice of November 4, 2004; Notice of October 25, 2005; Notice of October 27, 2006; Notice of November 8, 2007; Notice of November 10, 2008; Notice of November 6, 2009; EO 13608, May 1, 2012; EO 13617, June 25, 2012"
12937.0,Declassification of selected records within the National Archives of the United States,"November 10, 1994","Federal Register page and date: 59 FR 59097; November 15, 1994"
12936.0,"Amendments to the Manual for Courts-Martial, United States, 1984","November 10, 1994","Federal Register page and date: 59 FR 59075; November 15, 1994
Amends: EO 12473, April 13, 1984
See: EO 12484, July 13, 1984; EO 12550, February 19, 1986; EO 12586, March 3, 1987; EO 12708, March 23, 1990; EO 12767, June 27, 1991; EO 12888, December 23, 1993; EO 12960, May 12, 1995; EO 13086, May 27, 1998; EO 13140, October 6, 1999"
12935.0,"Amending   11157 as it relates to the definition of ""Field Duty""","October 28, 1994","Federal Register page and date: 59 FR 54511; October 31, 1994
Amends: EO 11157, June 22, 1964"
