citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number
82 FR 8115, 2017-01623,8129,https://www.federalregister.gov/documents/2017/01/23/2017-01623/amending-the-civil-service-rules-executive-order-13488-and-executive-order-13467-to-modernize-the,https://www.govinfo.gov/content/pkg/FR-2017-01-23/pdf/2017-01623.pdf,Presidential Document,Executive Order,01/23/2017,01/17/2017,8115,"Amending the Civil Service Rules, Executive Order 13488, and Executive Order 13467 To Modernize the Executive Branch-Wide Governance Structure and Processes for Security Clearances, Suitability and Fitness for Employment, and Credentialing, and Related Matters","Amends: EO 13467, June 30, 2008; EO 13488, January 16, 2009",13764
82 FR 7619, 2017-01487,7620,https://www.federalregister.gov/documents/2017/01/19/2017-01487/providing-an-order-of-succession-within-the-department-of-justice,https://www.govinfo.gov/content/pkg/FR-2017-01-19/pdf/2017-01487.pdf,Presidential Document,Executive Order,01/19/2017,01/13/2017,7619,Providing an Order of Succession Within the Department of Justice,"Revokes: EO 13557, November 4, 2010
Revoked by: EO 13775, February 9, 2017",13762
82 FR 7621, 2017-01489,7622,https://www.federalregister.gov/documents/2017/01/19/2017-01489/providing-an-order-of-succession-within-the-environmental-protection-agency,https://www.govinfo.gov/content/pkg/FR-2017-01-19/pdf/2017-01489.pdf,Presidential Document,Executive Order,01/19/2017,01/13/2017,7621,Providing an Order of Succession Within the Environmental Protection Agency,"Revokes: EO 13737, August 12, 2016",13763
82 FR 5331, 2017-01197,5333,https://www.federalregister.gov/documents/2017/01/18/2017-01197/recognizing-positive-actions-by-the-government-of-sudan-and-providing-for-the-revocation-of-certain,https://www.govinfo.gov/content/pkg/FR-2017-01-18/pdf/2017-01197.pdf,Presidential Document,Executive Order,01/18/2017,01/13/2017,5331,Recognizing Positive Actions by the Government of Sudan and Providing for the Revocation of Certain Sudan-Related Sanctions,"Revokes in part: EO 13067, November 3, 1997
Revokes: EO 13412, October 13, 2006
Amended by: EO 13804, July 11, 2017",13761
82 FR 5321, 2017-01164,5322,https://www.federalregister.gov/documents/2017/01/17/2017-01164/amending-executive-order-11016-to-update-eligibility-criteria-for-award-of-the-purple-heart,https://www.govinfo.gov/content/pkg/FR-2017-01-17/pdf/2017-01164.pdf,Presidential Document,Executive Order,01/17/2017,01/12/2017,5321,Amending Executive Order 11016 To Update Eligibility Criteria for Award of the Purple Heart,"Amends: EO 11016, April 25, 1962",13758
82 FR 5323, 2017-01168,5324,https://www.federalregister.gov/documents/2017/01/17/2017-01168/designating-the-world-organisation-for-animal-health-as-a-public-international-organization-entitled,https://www.govinfo.gov/content/pkg/FR-2017-01-17/pdf/2017-01168.pdf,Presidential Document,Executive Order,01/17/2017,01/12/2017,5323,"Designating the World Organisation for Animal Health as a Public International Organization Entitled To Enjoy Certain Privileges, Exemptions, and Immunities","",13759
82 FR 5325, 2017-01169,5329,https://www.federalregister.gov/documents/2017/01/17/2017-01169/exclusions-from-the-federal-labor-management-relations-program,https://www.govinfo.gov/content/pkg/FR-2017-01-17/pdf/2017-01169.pdf,Presidential Document,Executive Order,01/17/2017,01/12/2017,5325,Exclusions From the Federal Labor-Management Relations Program,"Amends: EO 12171, November 19, 1979",13760
82 FR 1, 2016-31922,3,https://www.federalregister.gov/documents/2017/01/03/2016-31922/taking-additional-steps-to-address-the-national-emergency-with-respect-to-significant-malicious,https://www.govinfo.gov/content/pkg/FR-2017-01-03/pdf/2016-31922.pdf,Presidential Document,Executive Order,01/03/2017,12/28/2016,1,Taking Additional Steps to Address the National Emergency With Respect to Significant Malicious Cyber- Enabled Activities,"Amends: EO 13694, April 1, 2015",13757
81 FR 96329, 2016-31792,96330,https://www.federalregister.gov/documents/2016/12/30/2016-31792/providing-an-order-of-succession-within-the-department-of-labor,https://www.govinfo.gov/content/pkg/FR-2016-12-30/pdf/2016-31792.pdf,Presidential Document,Executive Order,12/30/2016,12/23/2016,96329,Providing an Order of Succession Within the Department of Labor,"",13755
81 FR 97099, 2016-31875,97110,https://www.federalregister.gov/documents/2016/12/30/2016-31875/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2016-12-30/pdf/2016-31875.pdf,Presidential Document,Executive Order,12/30/2016,12/27/2016,97099,Adjustments of Certain Rates of Pay,"Supersedes: EO 13715, December 18, 2015
Superseded by: EO 13819, December 22, 2017",13756
81 FR 90667, 2016-30272,90668,https://www.federalregister.gov/documents/2016/12/14/2016-30272/amending-the-order-of-succession-in-the-department-of-homeland-security,https://www.govinfo.gov/content/pkg/FR-2016-12-14/pdf/2016-30272.pdf,Presidential Document,Executive Order,12/14/2016,12/09/2016,90667,Amending the Order of Succession in the Department of Homeland Security,"Amends: EO 13286, February 28, 2003
Revokes: EO 13442, August 13, 2007
",13753
81 FR 90669, 2016-30277,90674,https://www.federalregister.gov/documents/2016/12/14/2016-30277/northern-bering-sea-climate-resilience,https://www.govinfo.gov/content/pkg/FR-2016-12-14/pdf/2016-30277.pdf,Presidential Document,Executive Order,12/14/2016,12/09/2016,90669,Northern Bering Sea Climate Resilience,"Revoked by: EO 13795, April 28, 2017",13754
81 FR 90181, 2016-30101,90182,https://www.federalregister.gov/documents/2016/12/13/2016-30101/relating-to-the-implementation-of-the-convention-on-the-international-recovery-of-child-support-and,https://www.govinfo.gov/content/pkg/FR-2016-12-13/pdf/2016-30101.pdf,Presidential Document,Executive Order,12/13/2016,12/08/2016,90181,Relating to the Implementation of the Convention on the International Recovery of Child Support and Other Forms of Family Maintenance,"",13752
81 FR 88609, 2016-29519,88614,https://www.federalregister.gov/documents/2016/12/08/2016-29519/safeguarding-the-nation-from-the-impacts-of-invasive-species,https://www.govinfo.gov/content/pkg/FR-2016-12-08/pdf/2016-29519.pdf,Presidential Document,Executive Order,12/08/2016,12/05/2016,88609,Safeguarding the Nation From the Impacts of Invasive Species,"Amends: EO 13112, February 3, 1999",13751
81 FR 87391, 2016-29165,87392,https://www.federalregister.gov/documents/2016/12/02/2016-29165/providing-for-the-appointment-in-the-competitive-service-of-certain-employees-of-the-foreign-service,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-29165.pdf,Presidential Document,Executive Order,12/02/2016,11/29/2016,87391,Providing for the Appointment in the Competitive Service of Certain Employees of the Foreign Service,"See: EO 13597, January 19, 2012",13749
81 FR 87393, 2016-29169,87394,https://www.federalregister.gov/documents/2016/12/02/2016-29169/providing-for-the-appointment-of-alumni-of-the-fulbright-us-student-program-the-benjamin-a-gilman,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-29169.pdf,Presidential Document,Executive Order,12/02/2016,11/29/2016,87393,"Providing for the Appointment of Alumni of the Fulbright U.S. Student Program, the Benjamin A. Gilman International Scholarship Program, and the Critical Language Scholarship Program to the Competitive Service","",13750
81 FR 83619, 2016-28203,83622,https://www.federalregister.gov/documents/2016/11/21/2016-28203/establishing-a-community-solutions-council,https://www.govinfo.gov/content/pkg/FR-2016-11-21/pdf/2016-28203.pdf,Presidential Document,Executive Order,11/21/2016,11/16/2016,83619,Establishing a Community Solutions Council,"Revokes: EO 13602, March 15, 2012
Supersedes: EO 13560, December 14, 2010",13748
81 FR 78701, 2016-27171,78706,https://www.federalregister.gov/documents/2016/11/09/2016-27171/advancing-the-global-health-security-agenda-to-achieve-a-world-safe-and-secure-from-infectious,https://www.govinfo.gov/content/pkg/FR-2016-11-09/pdf/2016-27171.pdf,Presidential Document,Executive Order,11/09/2016,11/04/2016,78701,Advancing the Global Health Security Agenda To Achieve a World Safe and Secure From Infectious Disease Threats,"",13747
81 FR 78697, 2016-27156,78700,https://www.federalregister.gov/documents/2016/11/08/2016-27156/advancing-the-goals-of-the-power-africa-initiative-to-expand-access-to-electricity-in-sub--saharan,https://www.govinfo.gov/content/pkg/FR-2016-11-08/pdf/2016-27156.pdf,Presidential Document,Executive Order,11/08/2016,11/03/2016,78697,Advancing the Goals of the Power Africa Initiative to Expand Access to Electricity in Sub- Saharan Africa Through the Establishment of the President's Power Africa Working Group,"",13746
81 FR 76493, 2016-26753,76493,https://www.federalregister.gov/documents/2016/11/03/2016-26753/delegation-of-function-to-the-director-of-the-office-of-personnel-management,https://www.govinfo.gov/content/pkg/FR-2016-11-03/pdf/2016-26753.pdf,Presidential Document,Executive Order,11/03/2016,10/31/2016,76493,Delegation of Function to the Director of the Office of Personnel Management,"",13745
81 FR 71571, 2016-25288,71572,https://www.federalregister.gov/documents/2016/10/18/2016-25288/charitable-fundraising,https://www.govinfo.gov/content/pkg/FR-2016-10-18/pdf/2016-25288.pdf,Presidential Document,Executive Order,10/18/2016,10/13/2016,71571,Charitable Fundraising,"Amends: EO 12353, March 23, 1982",13743
